id_da rua,Id_ponto,metragem,logradouro,numero,numero original,Data inicial,Data_final,fonte,autor_da_alimentação,Data
45,45-1327,"1326,8",avenida sao joao,1327,1327,05/05/1933,,"Livro de emplacamento 19, p. 43",Vitoria Martins,28/01/2019
45,45-1327,"1326,8",avenida sao joao,357,357,10/01/1933,05/04/1933,"Livro de emplacamento 8, p 164; 8, p. 105",Vitoria Martins,28/01/2019
45,45-1327,"1326,8",avenida sao joao,453,453,10/01/1911, ,"Livro de emplacamento 19, p. 43; 8, p. 164",Vitoria Martins,28/01/2019
45,45-1327,"1326,8",avenida sao joao,427,427,30/10/1933,30/10/1933,"Livro de emplacamento 8, p. 164",Vitoria Martins,28/01/2019
45,45-16,"16,3",avenida sao joao,16,16,05/05/1933,,"Livro de emplacamento 19, p. 44",Vitoria Martins,28/01/2019
45,45-16,"16,3",avenida sao joao,2,2,14/05/1908,05/04/1933,"Livro de emplacamento 19, p. 44; 8, p. 99",Vitoria Martins,28/01/2019
45,45-284,"283,3",avenida sao joao,248,248,05/05/1933,,"Livro de emplacamento 19, p. 44",Vitoria Martins,28/01/2019
45,45-284,"283,3",avenida sao joao,24,24,14/05/1908,05/04/1933,"Livro de emplacamento 19, p. 44; 8, p. 99",Vitoria Martins,28/01/2019
45,45-284,"283,3",avenida sao joao,"16,1",16,13/05/1908,13/05/1908,"Livro de emplacamento 8, p. 99",Vitoria Martins,28/01/2019
45,45-508,508,avenida sao joao,508,508,05/05/1933,,"Livro de emplacamento 19, p. 44",Vitoria Martins,28/01/2019
45,45-508,508,avenida sao joao,50,50,14/05/1908,05/04/1933,"Livro de emplacamento 19, p. 44; 8, p. 99",Vitoria Martins,28/01/2019
45,45-508,508,avenida sao joao,28,28,13/05/1908,13/05/1908,"Livro de emplacamento 8, p. 99",Vitoria Martins,28/01/2019
45,45-864,"863,6",avenida sao joao,864,864,05/05/1933,,"Livro de emplacamento 19, p. 44",Vitoria Martins,28/01/2019
45,45-864,"863,6",avenida sao joao,134,134,10/01/1911,05/04/1933,"Livro de emplacamento 19, p. 44; 8, p. 166",Vitoria Martins,28/01/2019
