id_street,id_point,metre,address,number,original_n,initial_date,final_date,source,author,date,coordinate,first_day,first_month,first_year,last_day,last_month,last_year,reason
296,296-474,474.9,Rua Jaguaribe,92.0,92,09/04/2029,12/06/1935,"Livro de Emplacamento - 30-6-1908 - L5. p,42",Cintia,8/10/2018,,9.0,4.0,2029.0,12.0,6.0,1935.0,Initial year is greater than final year.
296,296-780,780.3,Rua Jaguaribe,148.0,148,09/04/2029,12/06/1935,"Livro de Emplacamento - 30-6-1908 - L5. p,42",Cintia,8/10/2018,,9.0,4.0,2029.0,12.0,6.0,1935.0,Initial year is greater than final year.
175,175-29,29.0,rua pyrineus,24.0,24,01/01/1911,31/12/1910,Livro de emplacamento 7. p. 128,Cintia,8/10/2018,,1.0,1.0,1911.0,31.0,12.0,1910.0,Initial year is greater than final year.
259,259-127,126.1,rua jurua,35.1,35A,26/07/1938,09/01/1925,Livro de emplacamento 5. p. 96,Cintia,8/10/2018,,26.0,7.0,1938.0,9.0,1.0,1925.0,Initial year is greater than final year.
387,387-368,368.6,rua bella cintra,132.0,132,02/04/1933,20/03/1911,Livro de emplacamento 2. p. 51,Cintia,8/10/2018,,2.0,4.0,1933.0,20.0,3.0,1911.0,Initial year is greater than final year.
411,411-966,965.0,avenida brigadeiro luis antonio,188.0,188,05/05/1934,16/10/1929,Livro de emplacamento 16. p. 19,Cintia,8/10/2018,,5.0,5.0,1934.0,16.0,10.0,1929.0,Initial year is greater than final year.
294,294-33,32.5,rua fortunato,33.0,33,26/10/1935,,Livro de emplacamento 20. p. 133,Cintia,8/10/2018,,26.0,10.0,1935.0,,,,Invalid final_date.
45,45-1327,1326.8,avenida sao joao,453.0,453,10/01/1911,,Livro de emplacamento 19. p. 43,Cintia,8/10/2018,,10.0,1.0,1911.0,,,,Invalid final_date.
690,690-24,25.4,Rua Barra do Tibagy,89.0,89,02/09/1915,28/09/1616,Livro de Emplacamento  L1,Cintia,8/10/2018,,2.0,9.0,1915.0,28.0,9.0,1616.0,Initial year is greater than final year.
690,690-256,256.2,Rua Barra do Tibagy,41.0,41,25/07/1908,28/09/1616,Livro de Emplacamento  L1,Cintia,8/10/2018,,25.0,7.0,1908.0,28.0,9.0,1616.0,Initial year is greater than final year.
690,690-592,591.3,Rua Barra do Tibagy,9.0,9,25/07/1908,28/09/1616,Livro de Emplacamento  L1,Cintia,8/10/2018,,25.0,7.0,1908.0,28.0,9.0,1616.0,Initial year is greater than final year.
1744,1744-1157,1156.3,rua dos pinheiros,99.0,99,04/1921,09/27/1927,"Livro de emplacamento n,7. p. 186",Cintia,8/10/2018,,,,,,,,Invalid initial_date.
1744,1744-1157,1156.3,rua dos pinheiros,85.0,85,03/1921,03/1921,"Livro de emplacamento n,7. p. 186",Cintia,8/10/2018,,,,,,,,Invalid initial_date.
1744,1744-1427,1427.3,rua dos pinheiros,119.0,119,04/1921,09/27/1927,"Livro de emplacamento n,7. p. 186",Cintia,8/10/2018,,,,,,,,Invalid initial_date.
1744,1744-1427,1427.3,rua dos pinheiros,197.0,197,03/1921,03/1921,"Livro de emplacamento n,7. p. 186",Cintia,8/10/2018,,,,,,,,Invalid initial_date.
1744,1744-1559,1558.2,rua dos pinheiros,135.0,135,04/1921,09/27/1927,"Livro de emplacamento n,7. p. 186",Cintia,8/10/2018,,,,,,,,Invalid initial_date.
1744,1744-1559,1558.2,rua dos pinheiros,205.0,205,03/1921,03/1921,"Livro de emplacamento n,7. p. 186",Cintia,8/10/2018,,,,,,,,Invalid initial_date.
1744,1744-456,458.9,rua dos pinheiros,24.0,24,04/1921,09/27/1927,"Livro de emplacamento n,7. p. 186",Cintia,8/10/2018,,,,,,,,Invalid initial_date.
1744,1744-456,458.9,rua dos pinheiros,10.0,10,03/1921,03/1921,"Livro de emplacamento n,7. p. 186",Cintia,8/10/2018,,,,,,,,Invalid initial_date.
1744,1744-1022,1022.1,rua dos pinheiros,48.0,48,04/1921,09/27/1927,"Livro de emplacamento n,7. p. 186",Cintia,8/10/2018,,,,,,,,Invalid initial_date.
1744,1744-1022,1022.1,rua dos pinheiros,78.0,78,03/1921,03/1921,"Livro de emplacamento n,7. p. 186",Cintia,8/10/2018,,,,,,,,Invalid initial_date.
1744,1744-1574,1573.0,rua dos pinheiros,78.0,78,04/1921,09/27/1927,"Livro de emplacamento n,7. p. 186",Cintia,8/10/2018,,,,,,,,Invalid initial_date.
1744,1744-1574,1573.0,rua dos pinheiros,104.0,104,03/1921,03/1921,"Livro de emplacamento n,7. p. 186",Cintia,8/10/2018,,,,,,,,Invalid initial_date.
2010,2010-200,200.3,rua dos ingleses,31.0,31,20/101927,17/01/1938,,Cintia,8/10/2018,,,,,,,,Invalid initial_date.
2010,2010-95,95.6,rua dos ingleses,10.0,10,08/11/1929,17/02/1924,,Cintia,8/10/2018,,8.0,11.0,1929.0,17.0,2.0,1924.0,Initial year is greater than final year.
2010,2010-197,197.3,rua dos ingleses,50.0,50,20/101927,17/01/1938,,Cintia,8/10/2018,,,,,,,,Invalid initial_date.
